project,algorithmType,historyType,nCommits,nPaths,avgFilesInCommit,avgRules,avgHistorySize,avgPredictionsCount,successCount,failureCount,noPredictionCount
www.eclipse.org/mylyn,SINGLE_FILE,LINEAR,10,4,4.777777777777778,10.0,78.11111111111111,2.2222222222222223,24,0,3
www.eclipse.org/mylyn,OTHER_FILES,FULL,13,16,5.3584905660377355,10.0,99.30188679245283,2.490566037735849,25,21,7
www.eclipse.org/mylyn,OTHER_FILES,LINEAR,13,16,5.3584905660377355,10.0,99.30188679245283,2.3962264150943398,24,22,7
tcf/org.eclipse.tcf,SINGLE_FILE,FULL,327,51,4.436450839328537,7.9640287769784175,29.94724220623501,0.5779376498800959,173,7,237
tcf/org.eclipse.tcf,SINGLE_FILE,LINEAR,327,51,4.436450839328537,7.9640287769784175,29.94724220623501,0.5107913669064749,155,7,255
tcf/org.eclipse.tcf,OTHER_FILES,FULL,381,622,5.667927382753404,7.225416036308624,36.28593040847201,1.2776096822995462,183,673,466
tcf/org.eclipse.tcf,OTHER_FILES,LINEAR,381,622,5.667927382753404,7.225416036308624,36.28593040847201,1.214069591527988,165,642,515
dltk/org.eclipse.dltk.ruby,SINGLE_FILE,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.ruby,SINGLE_FILE,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.ruby,OTHER_FILES,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.ruby,OTHER_FILES,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
www.eclipse.org/eclipse.org-common,SINGLE_FILE,FULL,8,2,3.0,2.0,68.66666666666667,0.1111111111111111,1,0,8
www.eclipse.org/eclipse.org-common,SINGLE_FILE,LINEAR,8,2,3.0,2.0,68.66666666666667,0.1111111111111111,1,0,8
www.eclipse.org/eclipse.org-common,OTHER_FILES,FULL,10,18,4.875,7.041666666666667,62.291666666666664,1.7083333333333333,5,11,8
www.eclipse.org/eclipse.org-common,OTHER_FILES,LINEAR,10,18,4.875,7.041666666666667,62.291666666666664,1.7083333333333333,5,11,8
www.eclipse.org/eclipse/news,SINGLE_FILE,FULL,2,2,5.333333333333333,7.333333333333333,10.333333333333334,0.0,0,0,3
www.eclipse.org/eclipse/news,SINGLE_FILE,LINEAR,2,2,5.333333333333333,7.333333333333333,10.333333333333334,0.3333333333333333,1,0,2
www.eclipse.org/eclipse/news,OTHER_FILES,FULL,1,1,2.0,10.0,7.0,0.0,0,0,1
www.eclipse.org/eclipse/news,OTHER_FILES,LINEAR,1,1,2.0,10.0,7.0,0.0,0,0,1
dltk/org.eclipse.dltk.releng,SINGLE_FILE,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.releng,SINGLE_FILE,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.releng,OTHER_FILES,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.releng,OTHER_FILES,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.tcl,SINGLE_FILE,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.tcl,SINGLE_FILE,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.tcl,OTHER_FILES,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
dltk/org.eclipse.dltk.tcl,OTHER_FILES,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
www.eclipse.org/jdt,SINGLE_FILE,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
www.eclipse.org/jdt,SINGLE_FILE,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
www.eclipse.org/jdt,OTHER_FILES,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
www.eclipse.org/jdt,OTHER_FILES,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
papyrus-rt/org.eclipse.papyrus-rt,SINGLE_FILE,FULL,99,36,5.15748031496063,9.51968503937008,9.976377952755906,0.3228346456692913,29,2,96
papyrus-rt/org.eclipse.papyrus-rt,SINGLE_FILE,LINEAR,99,36,5.15748031496063,9.51968503937008,9.976377952755906,0.31496062992125984,28,3,96
papyrus-rt/org.eclipse.papyrus-rt,OTHER_FILES,FULL,127,350,6.407821229050279,8.411545623836126,15.48417132216015,1.2327746741154562,55,276,206
papyrus-rt/org.eclipse.papyrus-rt,OTHER_FILES,LINEAR,127,350,6.407821229050279,8.411545623836126,15.48417132216015,1.094972067039106,42,272,223
xsd/org.eclipse.xsd,SINGLE_FILE,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
xsd/org.eclipse.xsd,SINGLE_FILE,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
xsd/org.eclipse.xsd,OTHER_FILES,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
xsd/org.eclipse.xsd,OTHER_FILES,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
epp/org.eclipse.epp.packages,SINGLE_FILE,FULL,38,20,4.096774193548387,9.338709677419354,24.20967741935484,0.6612903225806451,21,0,41
epp/org.eclipse.epp.packages,SINGLE_FILE,LINEAR,38,20,4.096774193548387,9.338709677419354,24.20967741935484,0.6935483870967742,22,0,40
epp/org.eclipse.epp.packages,OTHER_FILES,FULL,37,42,3.343283582089552,7.985074626865671,38.67164179104478,0.6417910447761194,2,20,45
epp/org.eclipse.epp.packages,OTHER_FILES,LINEAR,37,42,3.343283582089552,7.985074626865671,38.67164179104478,0.31343283582089554,2,11,54
platform/eclipse.platform.releng,SINGLE_FILE,FULL,169,57,3.926056338028169,7.964788732394366,26.739436619718308,0.823943661971831,159,3,122
platform/eclipse.platform.releng,SINGLE_FILE,LINEAR,169,57,3.926056338028169,7.964788732394366,26.739436619718308,0.7183098591549296,147,6,131
platform/eclipse.platform.releng,OTHER_FILES,FULL,174,171,4.760532150776053,7.175166297117516,41.35920177383592,1.3680709534368072,80,244,127
platform/eclipse.platform.releng,OTHER_FILES,LINEAR,174,171,4.760532150776053,7.175166297117516,41.35920177383592,1.3614190687361418,63,266,122
swtbot/org.eclipse.swtbot,SINGLE_FILE,FULL,57,20,4.459770114942529,7.505747126436781,14.977011494252874,0.9655172413793104,56,0,31
swtbot/org.eclipse.swtbot,SINGLE_FILE,LINEAR,57,20,4.459770114942529,7.505747126436781,14.977011494252874,0.9425287356321839,55,1,31
swtbot/org.eclipse.swtbot,OTHER_FILES,FULL,73,140,5.535580524344569,7.307116104868914,24.640449438202246,1.7453183520599251,57,177,33
swtbot/org.eclipse.swtbot,OTHER_FILES,LINEAR,73,140,5.535580524344569,7.307116104868914,24.640449438202246,1.700374531835206,58,170,39
mylyn/org.eclipse.mylyn.docs,SINGLE_FILE,FULL,12,5,4.75,6.25,24.75,0.08333333333333333,0,1,11
mylyn/org.eclipse.mylyn.docs,SINGLE_FILE,LINEAR,12,5,4.75,6.25,24.75,0.08333333333333333,0,1,11
mylyn/org.eclipse.mylyn.docs,OTHER_FILES,FULL,14,40,6.173913043478261,5.717391304347826,31.91304347826087,1.391304347826087,9,24,13
mylyn/org.eclipse.mylyn.docs,OTHER_FILES,LINEAR,14,40,6.173913043478261,5.717391304347826,31.91304347826087,1.4130434782608696,9,23,14
www.eclipse.org/membership,SINGLE_FILE,FULL,3,3,3.6666666666666665,1.0,73.0,0.0,0,0,3
www.eclipse.org/membership,SINGLE_FILE,LINEAR,3,3,3.6666666666666665,1.0,73.0,0.0,0,0,3
www.eclipse.org/membership,OTHER_FILES,FULL,3,6,3.3333333333333335,1.6666666666666667,37.833333333333336,0.0,0,0,6
www.eclipse.org/membership,OTHER_FILES,LINEAR,3,6,3.3333333333333335,1.6666666666666667,37.833333333333336,0.0,0,0,6
acceleo/org.eclipse.acceleo,SINGLE_FILE,FULL,26,6,3.161290322580645,8.35483870967742,37.45161290322581,1.032258064516129,17,1,13
acceleo/org.eclipse.acceleo,SINGLE_FILE,LINEAR,26,6,3.161290322580645,8.35483870967742,37.45161290322581,1.1290322580645162,17,1,13
acceleo/org.eclipse.acceleo,OTHER_FILES,FULL,33,38,4.298701298701299,4.103896103896104,71.33766233766234,0.8181818181818182,15,33,29
acceleo/org.eclipse.acceleo,OTHER_FILES,LINEAR,33,38,4.298701298701299,4.103896103896104,71.33766233766234,0.8181818181818182,15,34,28
stem/org.eclipse.stem,SINGLE_FILE,FULL,17,7,3.2857142857142856,6.9523809523809526,26.61904761904762,1.0952380952380953,15,0,6
stem/org.eclipse.stem,SINGLE_FILE,LINEAR,17,7,3.2857142857142856,6.9523809523809526,26.61904761904762,1.0952380952380953,15,0,6
stem/org.eclipse.stem,OTHER_FILES,FULL,20,28,4.877551020408164,7.326530612244898,22.244897959183675,2.204081632653061,21,26,2
stem/org.eclipse.stem,OTHER_FILES,LINEAR,20,28,4.877551020408164,7.326530612244898,22.244897959183675,2.0408163265306123,22,20,7
chemclipse/org.eclipse.chemclipse.chemclipsecore,SINGLE_FILE,FULL,140,37,4.618811881188119,9.133663366336634,11.772277227722773,1.2277227722772277,127,6,69
chemclipse/org.eclipse.chemclipse.chemclipsecore,SINGLE_FILE,LINEAR,140,37,4.618811881188119,9.133663366336634,11.772277227722773,1.1683168316831682,122,4,76
chemclipse/org.eclipse.chemclipse.chemclipsecore,OTHER_FILES,FULL,163,266,5.368330464716007,8.623063683304647,18.3855421686747,1.874354561101549,139,338,104
chemclipse/org.eclipse.chemclipse.chemclipsecore,OTHER_FILES,LINEAR,163,266,5.368330464716007,8.623063683304647,18.3855421686747,1.8795180722891567,143,318,120
henshin/org.eclipse.emft.henshin,SINGLE_FILE,FULL,19,12,4.970588235294118,10.0,16.470588235294116,0.5588235294117647,9,1,24
henshin/org.eclipse.emft.henshin,SINGLE_FILE,LINEAR,19,12,4.970588235294118,10.0,16.470588235294116,0.058823529411764705,2,0,32
henshin/org.eclipse.emft.henshin,OTHER_FILES,FULL,20,49,5.407894736842105,9.157894736842104,29.907894736842106,0.6578947368421053,8,14,54
henshin/org.eclipse.emft.henshin,OTHER_FILES,LINEAR,20,49,5.407894736842105,9.157894736842104,29.907894736842106,0.23684210526315788,2,10,64
platform/eclipse.platform.releng.basebuilder,SINGLE_FILE,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
platform/eclipse.platform.releng.basebuilder,SINGLE_FILE,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
platform/eclipse.platform.releng.basebuilder,OTHER_FILES,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
platform/eclipse.platform.releng.basebuilder,OTHER_FILES,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
