name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
huangkaiw3n/soft-3002,111,111,102,5,25,4,5.88,5.72,3,34.333333333333336,33.0,1.36,1.36,3.0,3.0
jgaspard-fa/gitflow-dep-fa,283,279,72,71,10,1,49.8,17.4,7,66.57142857142857,20.285714285714285,1.0,1.0,1.0,1.0
JobRGR/WorklyES6,363,353,200,62,257,7,5.443579766536965,3.603112840466926,115,9.043478260869565,4.930434782608696,1.5680933852140078,1.2801556420233462,1.9391304347826086,1.2956521739130435
bostonrb/bostonrb,928,916,591,72,220,42,5.759090909090909,4.3954545454545455,75,13.333333333333334,9.333333333333334,2.3181818181818183,1.790909090909091,4.32,2.7733333333333334
Bandydan/pdr,297,297,106,109,2071,4,2.6030902945436987,1.4572670207629164,1122,3.257575757575758,1.142602495543672,1.5605987445678415,1.0352486721390632,1.9910873440285204,1.0213903743315509
henriquedsg89/compilador,198,197,180,12,68,4,5.470588235294118,5.205882352941177,8,18.5,16.25,1.7205882352941178,1.7205882352941178,1.625,1.625
cblage/elixir-json,362,315,159,27,60,27,11.083333333333334,7.3,23,19.782608695652176,9.91304347826087,1.6666666666666667,1.15,2.739130434782609,1.391304347826087
claudetech/official-site,116,115,115,0,50,5,5.58,5.58,0,0.0,0.0,1.72,1.72,NaN,NaN
NanodegreeStudent/make-your-own-android-app_1,146,146,146,0,146,1,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
alpaker/Fill-Column-Indicator,147,145,133,10,3,11,47.0,44.0,2,69.5,65.0,5.333333333333333,3.0,7.5,4.0
jessicapei/portfolio-aug-15,47,47,47,0,34,1,2.8529411764705883,2.8529411764705883,0,0.0,0.0,1.0,1.0,NaN,NaN
winterheart/iceland,256,256,240,8,64,2,1.609375,1.5625,3,3.0,2.0,1.0,1.0,1.0,1.0
