name,nReviews,nDiffReviews,mrrL,mrrF,top1L,top1F,top2L,top2F,top3L,top3F,top5L,top5F,top10L,top10F,cprL,cprF,diff_mrrL,diff_mrrF,diff_top1L,diff_top1F,diff_top2L,diff_top2F,diff_top3L,diff_top3F,diff_top5L,diff_top5F,diff_top10L,diff_top10F,diff_cprL,diff_cprF
openstack/devstack-plugin-amqp1,10,7,0.2409722222222222,0.25763888888888886,0.05,0.08333333333333333,0.20833333333333331,0.20833333333333331,0.45,0.45,0.6,0.6,0.6,0.6,16.8,18.2,0.3204365079365079,0.34424603174603174,0.07142857142857142,0.11904761904761904,0.24999999999999997,0.24999999999999997,0.5952380952380951,0.5952380952380951,0.8095238095238094,0.8095238095238094,0.8095238095238094,0.8095238095238094,23.0,25.0
openstack/ceilometer,563,552,0.19724448772905112,0.2526576272964376,0.1289267324347255,0.15317607693273783,0.2069737594160331,0.26659836118095454,0.2510566205059989,0.3285383651280635,0.29239835554222793,0.3795871683083055,0.32510860956686927,0.4346952140024966,22.440497335701597,118.11545293072824,0.19691783802799961,0.25343522494183757,0.12829544147478944,0.15302801566388538,0.2057842268440096,0.2665970000209132,0.2507455507455509,0.32977131564088125,0.2929111247046033,0.3818373956960919,0.32627321350147476,0.43804360896752226,22.818840579710145,120.40036231884058
openstack/networking-opencontrail,27,11,0.3880070546737213,0.3881319811875367,0.2676366843033509,0.2583774250440917,0.5083774250440917,0.46428571428571425,0.5083774250440917,0.5321869488536155,0.5083774250440917,0.550705467372134,0.5083774250440917,0.550705467372134,8.074074074074074,9.11111111111111,0.33495670995670995,0.3352633477633477,0.16450216450216448,0.14177489177489178,0.5054112554112554,0.39718614718614725,0.5054112554112554,0.5638528138528138,0.5054112554112554,0.6093073593073594,0.5054112554112554,0.6093073593073594,9.090909090909092,11.636363636363637
openstack/watcher-tempest-plugin,18,8,0.5125661375661376,0.41622574955908287,0.44312169312169314,0.2486772486772487,0.582010582010582,0.5634920634920635,0.582010582010582,0.5899470899470899,0.582010582010582,0.5899470899470899,0.582010582010582,0.5978835978835979,6.388888888888889,12.055555555555555,0.6741071428571429,0.4573412698412699,0.6011904761904762,0.16369047619047616,0.7470238095238095,0.7053571428571429,0.7470238095238095,0.7648809523809523,0.7470238095238095,0.7648809523809523,0.7470238095238095,0.7827380952380952,11.0,23.75
openstack/puppet-freezer,55,24,0.09325757575757578,0.10045454545454548,0.04818181818181818,0.052727272727272734,0.12696969696969695,0.13606060606060605,0.1406060606060606,0.1542424242424242,0.14515151515151514,0.1542424242424242,0.14515151515151514,0.1542424242424242,3.672727272727273,4.2,0.10677083333333331,0.12326388888888888,0.048611111111111105,0.05902777777777777,0.1388888888888889,0.15972222222222224,0.17013888888888892,0.20138888888888892,0.18055555555555558,0.20138888888888892,0.18055555555555558,0.20138888888888892,4.5,5.708333333333333
openstack/zun-ui,149,118,0.018456375838926176,0.019881218706722062,0.003355704697986577,0.003355704697986577,0.026845637583892617,0.02181208053691275,0.03691275167785235,0.03747203579418344,0.03691275167785235,0.04558964525407479,0.03691275167785235,0.04782678171939917,9.013422818791947,11.986577181208053,0.018008474576271187,0.019807640570352437,0.0,0.0,0.02754237288135593,0.0211864406779661,0.04025423728813559,0.040960451977401134,0.04025423728813559,0.05121065375302664,0.04025423728813559,0.054035512510088785,10.016949152542374,13.771186440677965
openstack/ironic-python-agent,161,148,0.07840897761470336,0.06872799674649607,0.05975056689342403,0.04338952972493346,0.08019570146899337,0.06381494626836241,0.08587449472542637,0.07685842452923197,0.10014542048703536,0.0930617174405994,0.12135216405402731,0.11538499457754109,27.52173913043478,73.96894409937889,0.0732467031259048,0.06271536583008468,0.05407550407550408,0.036277348777348783,0.0740642428142428,0.056244637494637484,0.08024184899184897,0.07043382668382668,0.095766302016302,0.0880603818103818,0.11883580008580004,0.11234448734448726,29.66216216216216,80.1891891891892
openstack/rally-openstack,39,32,0.5598290598290598,0.5472453472453471,0.4273504273504273,0.41452991452991444,0.6260683760683761,0.6047008547008548,0.7094017094017094,0.670940170940171,0.7094017094017094,0.7222222222222222,0.7414529914529915,0.7222222222222222,19.17948717948718,48.743589743589745,0.5885416666666666,0.573205266955267,0.4270833333333333,0.4114583333333333,0.6692708333333334,0.6432291666666667,0.7708333333333334,0.7239583333333334,0.7708333333333334,0.7864583333333334,0.8098958333333334,0.7864583333333334,22.84375,58.875
openstack/openstack-helm-infra,180,156,0.20437536743092294,0.29470862727807173,0.12432760141093471,0.15296075837742495,0.261115520282187,0.3462301587301587,0.2838778659611993,0.451060405643739,0.30088403880070547,0.4891071428571429,0.30088403880070547,0.4951256613756614,9.527777777777779,16.16111111111111,0.21065747524080847,0.31488815967982636,0.12561304436304438,0.15865130240130232,0.2688085063085063,0.3670177045177045,0.2950727513227513,0.4879756817256818,0.3146952584452584,0.5318757631257632,0.3146952584452584,0.5388202075702077,9.737179487179487,17.391025641025642
openstack/tripleo-ui,421,380,0.28809640846309487,0.3039022521782533,0.10709761339215025,0.11263997285374966,0.34871620857369084,0.30014138672095936,0.4540917317045583,0.49377898427779626,0.5377078384798101,0.5993015495984615,0.5754891980545188,0.6535799117746867,30.244655581947743,52.665083135391924,0.30264540692007785,0.3201566179834508,0.11703007518796996,0.123170426065163,0.3548934837092733,0.30107769423558917,0.4716384711779448,0.5156077694235586,0.5642763157894738,0.6325156641604007,0.6061340852130327,0.69265037593985,32.42631578947368,57.26578947368421
